link,artikel,provinsi,konfirmasi
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",DKI Jakarta,Terkonfirmasi: 4317
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Jawa Timur,Terkonfirmasi: 1034
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Jawa Barat,Terkonfirmasi: 1012
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Jawa Tengah,Terkonfirmasi: 746
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Sulawesi Selatan,Terkonfirmasi: 547
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Banten,Terkonfirmasi: 418
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Bali,Terkonfirmasi: 235
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Nusa Tenggara Barat,Terkonfirmasi: 233
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Papua,Terkonfirmasi: 210
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Kalimantan Selatan,Terkonfirmasi: 179
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Sumatera Barat,Terkonfirmasi: 172
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Kalimantan Tengah,Terkonfirmasi: 156
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Sumatera Selatan,Terkonfirmasi: 156
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Kalimantan Timur,Terkonfirmasi: 136
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Sumatera Utara,Terkonfirmasi: 117
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Kalimantan Utara,Terkonfirmasi: 115
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Daerah Istimewa Yogyakarta,Terkonfirmasi: 104
"<a class=""article__link"" href=""https://www.kompas.com/tren/read/2020/05/01/103056965/pandemi-virus-corona-uns-gelar-wisuda-online-pada-sabtu-besok"">Pandemi Virus Corona, UNS Gelar Wisuda Online pada Sabtu Besok</a>",Kepulauan Riau,Terkonfirmasi: 89
